176	150	185	177.89	-20.14	153	61
175	149	183	176.80	-18.37	153	70
176	150	184	177.60	-18.19	153	70
176	149	184	177.24	-18.22	153	70
175	149	184	176.75	-20.36	153	61
176	150	185	177.61	-20.57	153	61
175	149	184	176.78	-20.60	153	61
176	151	185	178.06	-20.54	153	61
175	149	184	176.83	-20.59	153	61
4294966959	4294966869	4294966952	176.83
175	150	184	177.15	-20.54	153	61
174	150	184	176.69	-22.71	153	52
175	150	184	177.14	-20.76	153	61
174	149	182	176.20	-18.39	153	70
173	147	182	174.81	-20.39	153	61
175	149	184	176.50	-20.58	153	61
176	151	184	177.96	-18.37	153	70
175	149	184	176.82	-20.38	153	61
176	150	185	177.62	-20.57	153	61
175	149	183	176.77	-18.41	153	70
176	150	184	177.60	-18.19	153	70
176	149	185	177.19	-20.42	153	61
175	149	184	176.74	-20.58	153	61
176	151	184	177.99	-18.37	153	70
175	149	184	176.82	-20.38	153	61
176	150	184	177.61	-18.39	153	70
175	149	184	176.78	-20.38	153	61
175	149	184	176.70	-20.58	153	61
174	148	183	175.78	-20.60	153	61
174	149	183	176.13	-20.55	153	61
173	147	180	174.70	-16.28	153	79
174	147	181	175.08	-15.89	153	84
173	146	180	174.21	-15.85	153	84
172	146	178	173.43	-13.72	153	93
173	147	178	174.05	-11.44	153	102
171	145	176	172.29	-11.21	153	102
172	145	177	172.72	-11.21	153	102
171	143	176	171.50	-11.23	153	102
515	4294966875	4294966967	171.50	-11.23
171	144	175	171.50	-9.16	153	111
170	143	174	170.59	-8.96	153	116
172	145	175	172.06	-6.91	153	125
172	144	174	171.65	-4.70	153	134
172	143	174	171.32	-4.48	153	134
175	145	176	173.43	-2.45	153	143
174	145	175	173.04	-2.25	153	143
176	146	177	174.52	-2.23	153	143
178	147	178	175.87	-0.22	153	153
177	147	178	175.71	-2.03	153	143
179	148	178	176.61	1.80	148	153
178	147	178	176.08	0.18	153	153
180	149	179	177.56	2.02	143	153
180	149	180	178.00	0.20	153	153
180	149	179	177.75	2.02	143	153
178	148	178	176.53	0.20	153	153
180	149	180	177.90	0.02	153	153
180	150	180	178.37	0.00	153	153
180	149	179	177.79	2.00	143	153
180	149	180	178.02	0.20	153	153
180	148	178	177.09	4.04	134	153
180	148	179	177.30	2.41	143	153
178	148	178	176.48	0.24	153	153
180	148	179	177.24	2.03	143	153
180	149	180	177.97	0.20	153	153
179	148	178	176.84	2.03	143	153
178	147	177	175.81	2.21	143	153
178	147	178	176.00	0.22	153	153
180	148	179	177.19	2.03	143	153
178	147	177	175.85	2.21	143	153
178	148	178	176.34	0.22	153	153
180	149	179	177.59	2.03	143	153
179	148	178	176.80	2.21	143	153
178	147	177	175.81	2.23	143	153
178	148	178	176.33	0.22	153	153
180	148	178	176.93	4.04	134	153
178	147	177	175.82	2.41	143	153
178	147	177	175.71	2.25	143	153
178	146	176	175.04	4.24	134	153
178	146	176	174.97	4.44	134	153
176	145	174	173.48	4.46	134	153
177	145	175	173.90	4.47	134	153
177	145	175	173.94	4.47	134	153
176	145	174	173.37	4.46	134	153
175	143	172	171.73	6.48	125	153
176	144	172	172.13	8.70	116	153
176	145	172	172.48	8.91	116	153
175	144	170	171.22	10.96	107	153
176	145	172	172.39	9.13	111	153
176	145	171	172.12	10.98	107	153
177	145	172	172.71	11.18	102	153
177	145	170	171.95	15.32	84	153
179	146	172	173.37	15.76	84	153
180	148	174	175.18	13.70	93	153
180	147	173	174.61	15.60	84	153
179	148	172	174.26	15.73	84	153
180	148	172	174.42	17.86	74	153
182	149	173	175.47	20.23	61	153
180	147	173	174.64	16.25	79	153
181	148	174	175.47	15.85	84	153
180	147	173	174.64	15.81	84	153
181	148	174	175.47	15.80	84	153
180	147	172	174.20	17.90	74	153
180	148	173	174.85	15.98	84	153
183	149	174	176.04	20.09	61	153
180	147	174	175.10	14.16	88	153
182	148	174	175.61	17.77	74	153
180	147	172	174.22	18.10	70	153
182	149	174	175.91	18.13	70	153
180	147	172	174.25	18.13	70	153
4294966870	4294966870	4294966962	174.25
180	147	172	174.08	18.14	70	153
178	147	172	173.71	13.92	93	153
177	145	169	171.62	17.69	74	153
178	146	171	172.76	15.97	84	153
178	145	170	172.10	17.92	74	153
179	146	172	173.38	16.02	79	153
180	147	172	173.99	17.92	74	153
178	145	170	172.23	18.12	70	153
180	147	172	173.88	18.13	70	153
178	145	170	172.21	18.14	70	153
179	146	171	172.96	18.14	70	153
179	147	172	173.81	16.01	79	153
178	145	170	172.21	17.93	74	153
178	145	169	171.59	20.25	61	153
178	145	170	171.98	18.35	70	153
176	144	169	170.97	16.04	79	153
177	144	169	171.01	17.93	74	153
478	4294966877	507	171.01	17.93	74	153
174	142	167	169.04	16.00	79	153
174	142	167	168.84	15.81	84	153
172	141	167	168.11	11.65	102	153
172	140	167	167.73	11.26	102	153
174	142	168	169.13	13.26	93	153
172	140	168	168.21	9.39	111	153
173	142	169	169.35	8.98	116	153
171	140	167	167.63	8.94	116	153
172	141	168	168.38	8.94	116	153
171	140	168	167.90	6.92	125	153
423	4294966879	4294966971	167.90	6.92	1
170	139	169	167.60	2.70	143	153
171	140	170	168.49	2.28	143	153
170	139	168	167.34	4.24	134	153
171	140	169	168.14	4.44	134	153
172	140	170	168.79	4.47	134	153
174	141	172	170.30	4.48	134	153
173	142	172	170.59	2.45	143	153
172	140	170	169.04	4.27	134	153
172	141	171	169.55	2.43	143	153
171	140	170	168.68	2.25	143	153
172	140	171	169.15	2.24	143	153
